"Therapies","ID","Created Date","Updated Date","Owner","Image Of Therapies","Title Of Therapies","Description Of Therapies","Therapies (Item)"
"Physiotherapy","d84b3d11-a6bb-46d5-9bba-02a6a19b11ad",2025-01-28T16:16:14Z,2025-02-11T10:42:01Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Physiotherapy</h2>","<p class=""font_7"">These centers include physiotherapy in their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the rehab that best suits your needs.</p>","/therapies/physiotherapy"
"Psychodrama Therapy","d88fbe8f-5d41-4049-b3cb-3e6a0ccc37d4",2025-01-28T16:17:08Z,2025-02-11T10:42:08Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Psychodrama Therapy</h2>","<p class=""font_7"">These centers integrate psychodrama therapy into their treatment programs to assist individuals in recovering from addiction or mental health issues. Explore our carefully selected list to find the rehab that best suits your needs.</p>","/therapies/psychodrama-therapy"
"Ketamine Therapy","dfa363fc-51f0-4d3f-904d-8da750bb1892",2025-01-28T16:12:45Z,2025-02-11T10:41:16Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Ketamine Therapy</h2>","<p class=""font_7"">These centers integrate Ketamine Therapy into their treatment programs to assist individuals recovering from addiction or mental health disorders. Explore our carefully selected list to find the ideal rehab center that suits your needs.</p>","/therapies/ketamine-therapy"
"Horticultural Therapy","e43ad760-c133-4f42-b223-af09d03c440b",2025-01-28T16:11:36Z,2025-02-11T10:40:58Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Horticultural Therapy</h2>","<p class=""font_7"">These centers integrate horticultural therapy into their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/horticultural-therapy"
"Mindfulness Therapy","e5529d94-948d-4faa-8db8-82cb3c440a53",2025-01-28T16:14:06Z,2025-02-11T10:41:34Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Mindfulness Therapy</h2>","<p class=""font_7"">These centers integrate Mindfulness Therapy into their treatment programs to assist individuals recovering from addiction or mental health disorders. Explore our carefully selected list to find the ideal rehab center that suits your needs.</p>","/therapies/mindfulness-therapy"
"Stress Management","e7289d4a-0a7e-4aa5-a2b5-d3673e441af1",2025-02-19T21:32:15Z,2025-04-05T13:45:57Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Stress Management</h2>","<p class=""font_8"">These centers include Stress Management as part of their treatment programs to aid individuals recovering from addiction or mental health challenges. Explore our carefully selected list to find the ideal rehab for your needs.</p>","/therapies/stress-management"
"Trauma-Specific Therapy","e8918a48-4a08-4c7e-90c4-5583b21e7b57",2025-01-28T16:20:22Z,2025-02-11T10:42:53Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Trauma-Specific Therapy</h2>","<p class=""font_7"">These centers integrate trauma-focused therapy into their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the rehab that best suits your needs.</p>","/therapies/trauma-specific-therapy"
"Cognitive Behavioral Therapy","eae62218-0f43-4b54-84c3-9cf886bf78f6",2025-01-28T16:06:26Z,2025-02-11T10:40:16Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Cognitive Behavioral Therapy</h2>","<p class=""font_7"">These centers integrate cognitive behavioral therapy into their treatment programs to help individuals recovering from addiction or mental health issues. Browse our curated list to find the ideal rehab that suits your needs.</p>","/therapies/cognitive-behavioral-therapy"
"Relapse Prevention Counseling","f0decda4-1f42-476e-91ef-8a1f4eac53c8",2025-01-28T16:18:21Z,2025-02-11T10:42:20Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Relapse Prevention Counseling</h2>","<p class=""font_7"">These centers include relapse prevention counseling in their treatment programs to assist individuals recovering from addiction or mental health issues. Explore our curated list to find the ideal rehab center for your needs.</p>","/therapies/relapse-prevention-counseling"
"Reiki","f85627a7-d6e5-469f-96d8-a35b65148840",2025-01-28T16:18:10Z,2025-02-11T10:42:17Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Reiki</h2>","<p class=""font_7"">These centers include reiki as part of their treatment programs to assist individuals in recovery from addiction or mental health conditions. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/reiki"
"Motivational Interviewing","faad2d62-ce3c-4067-b731-31b032bce937",2025-01-28T16:14:37Z,2025-02-11T10:41:40Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Motivational Interviewing</h2>","<p class=""font_7"">These centers integrate Motivational Interviewing into their treatment programs to assist individuals recovering from addiction or mental health disorders. Explore our carefully selected list to find the ideal rehab center that suits your needs.</p>","/therapies/motivational-interviewing"
"Craniosacral Therapy","fe71be9e-5abd-4555-880a-9901a793c9c2",2025-01-28T16:06:30Z,2025-02-11T10:40:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Craniosacral Therapy</h2>","<p class=""font_7"">These centers integrate craniosacral therapy into their treatment approaches to assist individuals in recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab center for your needs.</p>","/therapies/craniosacral-therapy"
